u,v,length_km
14,15,9.769083519503226
17,24,168.15443626736499
17,18,90.14370732412134
5,26,152.78515187657675
2,5,28.034984404888757
3,19,105.99730570478403
18,26,86.29118269023976
3,8,153.2353254137955
22,25,40.70351096125052
6,8,130.00891080055297
14,20,149.9155856092879
9,11,105.02015481813595
1,8,124.1894453172343
3,16,196.71067998593298
22,26,51.83955005064773
21,25,166.34679978397781
11,23,31.5460398544206
4,16,120.91853349906947
4,11,64.61809794111853
0,16,32.17248866453294
7,13,158.7312639763346
8,13,174.88410366649254
0,26,178.22783371868977
0,10,142.22677021033078
10,15,30.21575599494114
24,27,46.94566201683645
7,12,12.904954592750974
