u,v,length_km
13,1,21.623706418015047
1,2,17.92754055408221
14,3,18.311029873768117
29,4,18.43774850900673
13,5,21.6620956443382
19,6,20.435458004909343
23,7,11.012294581973551
0,8,29.399824487022507
7,9,14.073152673455844
15,10,25.985453136430632
17,11,16.132623595814554
34,12,18.364361954615955
12,13,15.416607831876567
1,14,19.116044605582484
30,15,21.952816031973168
6,16,24.421685702076854
18,17,19.455146754433848
5,18,24.852187809074184
3,19,18.124514793601016
19,20,16.568968991769346
22,21,13.263300551144425
16,22,21.60989612336099
11,23,18.655694195345077
26,24,18.687969330748988
26,25,19.569997763476398
18,26,18.595891575555964
28,27,10.753429713323419
7,28,13.06477747119186
21,29,15.877968449727447
29,30,16.367713782284966
32,31,27.746905993101002
0,32,21.44117860161459
34,33,14.609422292658902
0,34,83.79124701230764
