u,v,length_km
5,34,36.004564895905645
7,29,98.24618697713935
18,22,93.49175869514039
18,25,38.08103843148089
5,28,78.67322632258607
10,16,52.49420494093932
3,6,38.559922836757586
9,26,40.36199791547555
14,18,70.9563260434405
26,33,55.550886875614836
11,33,55.91825544704439
5,27,85.65992183119192
0,3,138.91506141871812
2,6,68.63262630785886
25,28,61.9211860952458
0,31,36.255427918237714
9,21,103.74437212313136
12,26,66.46896338611218
9,24,21.8374643384947
16,26,81.72934049651386
3,23,123.40533928547859
9,29,89.20412857059014
1,31,150.5661158391692
2,13,36.46041746416179
3,9,134.63131792605674
27,31,164.59072196623694
4,10,28.046184017043934
8,13,123.40854282745951
20,21,72.17866661375578
0,30,175.78785591446925
20,32,180.33703146800585
9,17,42.86963514571286
4,15,36.34092719678177
2,19,49.623290332511125
