0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,70.22838898547204,inf,inf,inf,inf,inf,88.70913789370734,101.49313053601927,inf,inf
inf,0.0,inf,inf,inf,inf,inf,109.98088462963894,inf,inf,inf,inf,inf,76.47690964435047,inf,inf,inf,inf,inf,inf
inf,inf,0.0,inf,inf,inf,inf,inf,90.23028068281342,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,73.31697452255784,inf,inf,inf,inf
inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,53.19483530149623,inf,inf,inf,inf,inf,inf,inf,inf,inf
inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,11.842526341726552,inf,69.87782479603425,inf
inf,inf,inf,inf,inf,inf,0.0,inf,inf,37.521533887949275,inf,inf,inf,inf,inf,inf,inf,inf,inf,74.50388018568671
inf,109.98088462963894,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,40.761161867762375,inf,inf,inf
inf,inf,90.23028068281342,inf,inf,inf,inf,inf,0.0,22.843812439538404,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
inf,inf,inf,inf,inf,inf,37.521533887949275,inf,22.843812439538404,0.0,inf,inf,inf,inf,inf,inf,15.266410497403372,inf,inf,inf
70.22838898547204,inf,inf,inf,53.19483530149623,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,37.79812252396703,inf,inf,inf,inf,inf,inf
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,115.77690328287684,inf,inf,inf,inf
inf,76.47690964435047,inf,inf,inf,inf,inf,inf,inf,inf,inf,37.79812252396703,inf,0.0,inf,inf,inf,inf,inf,inf
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,29.870166648651075,inf,inf,inf,inf
inf,inf,inf,73.31697452255784,inf,inf,inf,inf,inf,inf,inf,inf,115.77690328287684,inf,29.870166648651075,0.0,89.08779818393323,inf,inf,inf
88.70913789370734,inf,inf,inf,inf,11.842526341726552,inf,40.761161867762375,inf,15.266410497403372,inf,inf,inf,inf,inf,89.08779818393323,0.0,inf,inf,inf
101.49313053601927,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf
inf,inf,inf,inf,inf,69.87782479603425,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf
inf,inf,inf,inf,inf,inf,74.50388018568671,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0
