id,x_km,y_km,pop,n_cells_assigned,radius_km
2,53.058059343370836,18.301903260068816,337999,521,25.75573339679963
1,180.80880040022626,83.54956560408336,305827,2170,52.56357876015772
14,119.95459494225084,117.37133038097784,258099,1942,49.725558778918575
3,19.495011030192266,14.88888581212675,216678,267,18.437867513470433
4,16.447791488433413,52.11354130111066,210866,826,32.429860683500394
9,83.94621631523243,94.52408817064236,196528,927,34.355393433484295
5,123.41094480716238,78.62339206695862,174914,384,22.111625566165472
12,81.72937591527003,19.933671582622072,135206,213,16.46815177937675
16,46.40860431922552,46.607313516197095,128912,206,16.195287778099022
13,79.5497131147541,52.440061475409834,97600,231,17.14987856615383
7,185.35075222597482,107.91065397605158,81425,349,21.079862454783044
17,45.42134009303298,75.1837140019861,76532,397,22.48279562821002
6,101.47969245675174,18.831163757403385,63991,224,16.88803298257901
19,91.135687732342,129.92735110337736,50572,314,19.994929783493642
10,103.5965457685665,52.799006908462864,46320,139,13.303394180365686
15,120.20738394053856,140.4654563177775,32828,252,17.91246396432554
11,125.93496115427303,47.682035833201205,31535,168,14.625465582862905
21,126.37231084443144,22.425289038489684,13666,138,13.255453865237978
20,110.50775869222471,27.647083229607503,12051,59,8.667244841319219
18,68.98549781537604,132.42028446592917,10757,154,14.002817212590296
8,188.42716888511282,119.65439441140376,10593,72,9.574614729634384
0,172.01168849457824,68.18574848612872,7101,46,7.653039857325812
