u,v,length_km
12,13,109.50334218298218
4,21,145.07291404040956
13,15,71.92984704979122
0,10,159.50504921370575
3,25,60.91136066664303
10,25,112.01051982868032
16,24,91.64855803795136
9,19,149.32829255932327
9,24,82.36633414451627
4,12,134.10392605436962
8,18,65.38983620154302
13,22,109.89182916481265
21,24,124.17153948244724
6,11,80.2399130049905
6,25,127.22569542848335
6,18,76.64639230608704
6,16,73.46937784519979
1,2,85.94212010220883
3,14,52.828631235313026
1,23,16.119197476061558
16,17,74.86282586967627
4,5,170.89688984714505
2,17,97.07501368045388
7,17,71.7287065534093
19,20,30.855783460674484
