id,x_km,y_km,pop,n_cells_assigned,radius_km
20,172.8482469747061,71.05241579576851,191469,2941,61.19311645165748
10,48.44161046452346,73.43871174491268,68651,1537,44.23764437962249
0,188.1704873820073,46.900152631033,67483,299,19.511499785403828
13,15.065164081658153,165.54627243334426,64023,168,14.625465582862905
6,49.47412846442561,101.65940045564061,61013,359,21.37973331358283
1,74.01067580642517,171.44316895980583,60979,1141,38.11517178949638
11,47.42224354216824,165.20404395126985,55243,176,14.96964127403822
25,14.572204799066443,145.48935161549122,54844,187,15.430353037616328
3,48.68390092228828,185.7103090401059,47599,202,16.03728119216293
19,78.28037556939667,83.92879055498744,43028,498,25.180812005932435
4,72.63774428734482,105.70885840068948,42931,502,25.281737508665255
21,170.71272568433315,88.11866627839254,41208,210,16.351767622932517
2,147.71383136274247,62.210614484449735,41189,290,19.21560480373171
17,160.10038623975743,42.06205104140346,27703,140,13.351162356249091
24,13.435897435897436,124.31435897435898,23400,199,15.91774699517169
23,23.110444421844807,185.306010373233,19666,105,11.562445770562215
22,7.077064470011574,185.496834365852,14689,83,10.280023453913834
18,73.04844396749962,65.46818948336654,13046,183,15.26443044094783
26,39.293075060532686,144.883196125908,10325,81,10.155412503859614
8,179.41788776728535,105.77477477477477,9213,129,12.815923738491737
27,56.43468795355588,143.15578132559264,8268,97,11.11324596323283
15,35.71275261324042,100.8425087108014,7175,58,8.593479713983122
16,163.63923500434657,26.08461315560707,6902,96,11.055812783082736
7,161.33344686648502,103.89237057220708,5872,95,10.998079684646791
12,170.7609100310238,95.07983453981386,4835,26,5.753627391751592
5,144.7531380753138,34.33240353324035,4302,76,9.83698151873187
14,25.944267515923567,100.95063694267516,2512,48,7.817640190446719
9,45.328125,60.2047697368421,2432,47,7.735777827895049
