id,x_km,y_km,pop,n_cells_assigned,radius_km
3,56.43672919260495,48.234677817190914,681104,2749,59.16194307556981
4,105.98533636485222,42.142394008292094,373850,789,31.695204697178458
8,87.14520437223341,15.73734395029142,316726,291,19.248706645328987
1,91.95111836648718,168.2455491339626,227877,1113,37.64459607022283
0,60.46064942736818,69.96634716161365,209908,714,30.15116971098976
6,147.79305782164033,180.63326236619045,201032,857,33.032806266468405
7,55.548560458305566,10.899718144522772,163559,208,16.273715780512877
13,127.6463584019395,141.1145764937623,158392,695,29.747293718772774
2,184.72385820575647,21.280837561016178,156311,306,19.738573927438622
9,181.39908515191158,55.654099056562906,115429,400,22.56758334191025
11,147.710171975856,11.814704891616064,109841,245,17.66192765414112
5,105.25878829034149,74.92827973693268,107501,505,25.357168021907675
12,153.69700865861742,36.58621451674468,99554,288,19.149229459268767
14,168.53416768693603,140.17135990568175,44106,473,24.54062559633988
10,179.3626544096524,83.88325193909796,34810,367,21.616635097022034
