u,v,length_km
3,1,9.121084655675633
14,2,32.686503537455735
2,3,14.525892132885813
5,4,20.165319962222245
23,5,75.89081787403947
11,6,14.66334441254968
20,7,26.195830656775943
2,8,30.956928095239252
23,9,15.818488330207398
15,10,32.889521461739285
2,11,18.50631927209707
5,12,36.1756483068153
12,13,18.83714671281394
22,14,21.394500429821026
14,15,21.09835430769352
10,16,36.65403683094325
16,17,33.360446056493004
19,18,24.053846671473316
0,19,26.91722245638623
21,20,22.48632611997897
11,21,12.742444615511062
23,22,18.981318742226456
18,23,20.034691947903024
