u,v,length_km
10,1,12.923199218253965
9,2,40.298518072508585
25,3,28.12388145614085
5,4,33.83951586495375
28,5,33.599893980411686
19,6,23.61655527544636
29,7,41.23668231919879
21,8,31.020003586238477
8,9,43.671809291178846
17,10,29.103313659065968
20,11,29.011780117456837
3,12,27.212431679572735
12,13,28.2566378022583
23,14,16.846257555531942
16,15,22.493487820342967
0,16,18.309200266989865
16,17,13.074358008691547
14,18,16.998601807499565
18,19,20.756481146611026
27,20,23.799986371502843
12,21,29.34508037188101
23,22,13.925181176380452
15,23,20.99688532711857
27,24,23.297942111355198
24,25,21.706936612728793
27,26,20.941248154388404
6,27,24.415038486441436
29,28,24.442235633436937
9,29,27.292325671727657
