u,v,length_km
16,19,94.56606502426234
3,10,92.25099146832427
0,10,70.12405842931817
10,16,57.5221497709976
13,19,78.34867492005155
1,6,102.3795824600578
13,15,96.96141672919477
9,11,62.90653829564647
7,8,12.140007367112577
15,21,118.20104659034365
0,20,73.6621799970182
5,7,68.51484111644261
11,14,69.94542554446764
7,19,96.75336340373795
1,11,65.5562195787389
18,20,112.70102859172066
11,21,25.26053311796195
14,17,85.64462069598667
5,12,71.98497395859168
4,11,109.57681580584675
2,7,159.78449485169114
