u,v,length_km
22,29,33.38971663559328
2,15,52.19510591867284
8,20,101.81606855301577
6,11,108.80204656797594
8,26,25.128034309226386
19,25,20.502370621550185
5,16,93.0536928331586
1,26,35.47824672847615
12,28,71.70172945981389
0,10,102.66454312945447
3,18,138.79861202026646
15,26,41.72453068646454
17,31,71.16075701166922
6,28,109.32069594322249
3,15,67.83405180700497
10,14,92.69725726201223
22,23,13.900011670014194
0,31,41.15529840335922
4,24,60.40476914837313
27,28,117.8860255912539
10,11,26.191479929452804
15,27,37.71418729219029
28,29,12.007361904606718
2,5,124.15159306195241
3,7,30.673424461230873
15,24,68.79280793956423
25,30,22.373460797196742
2,19,143.37297292376397
13,20,95.64544831778365
2,21,88.64100898341268
6,9,102.19655880807863
