u,v,length_km
16,1,10.222196694863825
24,2,11.14755313596368
1,3,12.09019896599453
13,4,25.892738421253007
6,5,21.512225060453037
0,6,22.28471611667125
8,7,12.210605175931983
21,8,21.148882650512192
14,9,32.141827253064264
9,10,28.828027616953854
18,11,13.232016298773319
22,12,9.661369759243318
2,13,37.28353786346634
13,14,26.879147637585938
16,15,8.79519745042121
7,16,7.779651398065303
18,17,6.493099476107604
12,18,6.896709894072638
22,19,8.994397567310445
5,20,28.41626934555962
20,21,25.401362037169537
20,22,26.642807957535492
1,23,16.119197476061558
25,24,24.943624360228224
11,25,52.31428348041771
