0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,15.841054806813549,inf,inf,36.26073160036375,inf,inf,17.13613342602323,inf
inf,0.0,inf,111.48546685721205,37.778946979989115,inf,inf,inf,inf,inf,inf,inf,inf,inf,55.12213672679792,inf,inf,inf
inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,92.92654538476587,inf,inf,inf,inf,inf
inf,111.48546685721205,inf,0.0,inf,inf,inf,63.267251559656195,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
inf,37.778946979989115,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,98.99119797248856,inf,inf,inf,inf,inf
inf,inf,inf,inf,inf,0.0,inf,inf,inf,85.51361268312321,inf,inf,96.96360539632734,inf,inf,41.39908440040813,inf,76.56887612504647
inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,57.67658304442292
inf,inf,inf,63.267251559656195,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,28.48231390033635,10.638972052894808,inf
inf,inf,inf,inf,inf,85.51361268312321,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf
15.841054806813549,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,35.50695363209904,inf
inf,inf,92.92654538476587,inf,98.99119797248856,96.96360539632734,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf
36.26073160036375,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf
inf,55.12213672679792,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf
inf,inf,inf,inf,inf,41.39908440040813,inf,inf,28.48231390033635,inf,inf,inf,inf,inf,inf,0.0,inf,inf
17.13613342602323,inf,inf,inf,inf,inf,inf,inf,10.638972052894808,inf,inf,35.50695363209904,inf,inf,inf,inf,0.0,inf
inf,inf,inf,inf,inf,76.56887612504647,57.67658304442292,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0
