u,v,length_km
0,1,17.704125347343474
12,2,28.71771338084822
2,3,33.73613641442536
16,4,30.462581143119024
0,5,49.708919627068255
20,6,12.618495001087698
1,7,24.780878778894543
7,8,12.140007367112577
19,9,36.12588442573834
11,10,22.916984856857482
5,11,31.04413284510876
6,12,19.781064859946103
10,13,24.049511481615756
5,14,38.90178759357612
14,15,23.09550941335605
2,16,29.07596089359496
16,17,28.593449518666365
19,18,22.290034322714373
15,19,30.922729212206306
21,20,16.701830724937864
11,21,25.26053311796195
