0.0,17.704125347343474,inf,inf,inf,49.708919627068255,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
17.704125347343474,0.0,inf,inf,inf,inf,inf,24.780878778894543,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
inf,inf,0.0,33.73613641442536,inf,inf,inf,inf,inf,inf,inf,inf,28.71771338084822,inf,inf,inf,29.07596089359496,inf,inf,inf,inf,inf
inf,inf,33.73613641442536,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,30.462581143119024,inf,inf,inf,inf,inf
49.708919627068255,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,31.04413284510876,inf,inf,38.90178759357612,inf,inf,inf,inf,inf,inf,inf
inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,19.781064859946103,inf,inf,inf,inf,inf,inf,inf,12.618495001087698,inf
inf,24.780878778894543,inf,inf,inf,inf,inf,0.0,12.140007367112577,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
inf,inf,inf,inf,inf,inf,inf,12.140007367112577,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,36.12588442573834,inf,inf
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,22.916984856857482,inf,24.049511481615756,inf,inf,inf,inf,inf,inf,inf,inf
inf,inf,inf,inf,inf,31.04413284510876,inf,inf,inf,inf,22.916984856857482,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,25.26053311796195
inf,inf,28.71771338084822,inf,inf,inf,19.781064859946103,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,24.049511481615756,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf
inf,inf,inf,inf,inf,38.90178759357612,inf,inf,inf,inf,inf,inf,inf,inf,0.0,23.09550941335605,inf,inf,inf,inf,inf,inf
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,23.09550941335605,0.0,inf,inf,inf,30.922729212206306,inf,inf
inf,inf,29.07596089359496,inf,30.462581143119024,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,28.593449518666365,inf,inf,inf,inf
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,28.593449518666365,0.0,inf,inf,inf,inf
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,22.290034322714373,inf,inf
inf,inf,inf,inf,inf,inf,inf,inf,inf,36.12588442573834,inf,inf,inf,inf,inf,30.922729212206306,inf,inf,22.290034322714373,0.0,inf,inf
inf,inf,inf,inf,inf,inf,12.618495001087698,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,16.701830724937864
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,25.26053311796195,inf,inf,inf,inf,inf,inf,inf,inf,16.701830724937864,0.0
