id,x_km,y_km,pop,n_cells_assigned,radius_km
10,118.75377737182414,44.017455471961156,208015,380,21.996159369293583
14,146.17623648378054,83.31197436924309,159808,2106,51.782646525764335
15,144.60806615808062,46.62504555908857,159134,302,19.60913925979463
13,117.64817002278753,81.6877179928382,107515,1249,39.87826715611172
6,170.49892879997773,57.78222642664367,71882,316,20.0585068271871
5,101.53245145425252,67.21256677690155,58965,208,16.273715780512877
24,72.36998277426883,22.732241752949676,53989,151,13.86575534383214
31,9.55798730233842,183.43065578295673,50718,204,16.11647812414279
23,54.302778525993,31.77102542320204,48263,718,30.23550881198871
26,88.43316187210262,32.28286869456616,47241,118,12.257335203001883
16,170.15536513559445,33.362957466669855,41779,226,16.96325844612841
18,83.42410725472999,50.191429645407844,39905,132,12.964089628857149
32,36.56764222980897,189.78434234187276,38371,430,23.398568422792877
8,17.76102075609558,154.15995994912456,36953,548,26.414679072721462
17,64.85157170654169,55.98484474773219,36489,516,25.631847476983474
4,124.25752864386364,16.51659803344819,35697,149,13.773623058786647
30,142.94228108321803,24.7355208539237,35413,76,9.83698151873187
1,132.87482167248444,97.04134162998938,32945,126,12.666024736934256
12,110.09034792368125,95.1246492704826,28512,147,13.680870333281758
19,165.0628829880362,77.48139772395682,27416,108,11.726460285670077
0,42.95311795642374,169.3160781367393,26620,400,22.56758334191025
25,91.15046904315197,12.902439024390244,21320,125,12.6156626101008
11,49.90963286800139,49.902081573848676,20129,233,17.22396045987371
3,160.29794892304176,94.96834828315146,17503,113,11.994835078277376
9,51.9031903190319,15.117436743674368,14544,109,11.780624362746345
21,155.6443062827225,14.295484293193716,12224,68,9.304852983362556
7,44.37418018639973,27.00724887814981,11588,78,9.965574970333758
2,132.54540501271342,114.96585543043952,11012,151,13.86575534383214
29,140.86157386102164,8.500598251265531,10865,64,9.0270333367641
20,181.04347826086956,81.85761848805328,10212,110,11.834540545406394
33,91.0523412744983,87.77197512029105,8521,84,10.341765891652821
22,168.67150778980724,11.804066543438077,7574,90,10.704744696916627
34,93.15589558955895,102.22916291629163,5555,84,10.341765891652821
28,31.843253066787824,30.703771013175828,2201,47,7.735777827895049
27,29.983957219251337,20.112299465240643,1122,34,6.579524642479541
