id,x_km,y_km,pop,n_cells_assigned,radius_km
3,53.45128653222654,52.49467681482674,43489,1148,38.231910720705116
26,84.50491493383743,67.81616257088847,42320,1591,45.00804501057165
4,101.3304643044996,146.17883613063645,41826,1526,44.07906016767892
19,51.09327648787233,191.61312438785504,34714,639,28.523675588636344
17,60.72964515557655,91.8404085729468,33874,293,19.314740138231286
16,42.485841450041924,104.92607882345352,31006,374,21.821814538001895
7,32.26415722851432,74.67495003331112,30020,327,20.404639941160397
31,76.75664595748277,161.1728582900131,23661,168,14.625465582862905
18,21.088387942332897,187.46762778505897,19075,243,17.58969042850512
25,43.1641799202055,172.70607203366671,18297,217,16.622063085174787
22,60.24302988534553,180.91805024747822,15961,74,9.706684619910241
12,23.525016727380862,92.88432086833693,13451,203,16.07692842495848
21,63.45173158441974,137.03375189954411,12503,160,14.27299292922217
30,57.95615933317304,155.92009297106677,12477,108,11.726460285670077
15,90.91409727947239,109.04550700741962,12130,189,15.512648837479231
23,71.20669406928948,189.4625450884993,11921,104,11.507254783503184
14,70.2090284592738,109.51530020519226,11209,117,12.205286835384658
0,112.31245059288537,140.44743083003954,10120,289,19.182445840623714
2,105.21524113388146,58.8478340900724,8149,157,14.138550439257221
5,93.90463559429077,182.48313755210307,7917,159,14.228319915326999
27,90.70241321460834,71.33191379532843,7749,101,11.340070282773887
9,121.73207249802995,91.0107696348831,7614,246,17.697935698969246
6,25.961550015019526,55.34364674076299,6658,153,13.957279475043833
20,80.34170702179176,187.86289346246974,6608,71,9.507891862878783
11,134.29181331293037,65.46488140780413,6535,299,19.511499785403828
8,99.62130470685383,87.88885218827416,6055,108,11.726460285670077
1,100.6773608845387,36.23835417799529,5517,207,16.23454913941803
24,41.975806451612904,157.39314516129033,4960,80,10.092530088080641
13,23.268236380424746,111.11218836565097,4332,114,12.047792665040703
29,30.18840579710145,166.37182228557853,4209,66,9.166995688475081
10,130.94583440804746,39.48800619035337,3877,251,17.876888032555495
28,18.344280860702153,164.3986409966025,1766,64,9.0270333367641
