id,x_km,y_km,pop,n_cells_assigned,radius_km
7,184.135440531657,102.66403147074776,765155,544,26.318098569918163
11,73.24809868841452,114.65537468455882,461655,335,20.65272978291924
6,37.40727815395168,103.86108291737924,431538,502,25.281737508665255
2,173.06909827556666,148.73450176877878,396884,1044,36.45904667847899
8,104.08736279057976,130.96297817324512,394470,583,27.245158369526866
20,51.95777550141778,134.36338128535164,336795,159,14.228319915326999
17,60.38150593232076,84.40200360094178,324915,889,33.64386950500135
21,78.20213016700427,148.05670083724172,292747,342,20.867389014906145
27,29.354965173639556,126.91003864126212,284411,138,13.255453865237978
4,171.73621618886162,29.015174572650345,276647,884,33.549124542167775
3,45.53350100789673,165.30972204242414,270365,382,22.05396803500069
9,146.04331904008458,118.84172980706057,257231,348,21.049640414216977
10,88.95925252387913,89.90793364832251,235352,398,22.511093682995384
24,21.06768052505989,148.6842210547874,209957,269,18.5067943613625
5,171.72829511950476,62.85468951053202,197398,328,20.435815879801165
29,144.4112364978759,91.59824715254184,190433,285,19.04923279949934
19,16.92450358330419,92.10533415491199,180141,179,15.09668435477122
12,70.40687101867479,176.3474710077857,146936,289,19.182445840623714
26,9.260999275079463,121.01356437852004,143464,137,13.207339536360731
13,98.51240123462956,173.42912367272328,100111,339,20.775663783985824
1,92.52277091629439,77.48575933375109,98942,207,16.23454913941803
18,16.504789316140915,71.35309693760074,86860,183,15.26443044094783
16,63.008630933766966,71.59430858715366,79945,122,12.463355264843006
15,41.58684363120933,64.73398621222859,77605,139,13.303394180365686
25,17.82895289528953,170.14818481848184,66660,194,15.716503163191918
28,138.5063285062805,67.88000640051204,62495,236,17.334489682638438
0,61.88278628601421,53.31975556263708,53347,189,15.512648837479231
14,22.53964300539643,55.4618098796181,48180,166,14.538148590038452
23,35.459527014035764,44.65102864833686,20804,94,10.940041919714261
22,34.906743017412644,30.736823653149468,8557,96,11.055812783082736
